rgdpnapc,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia (Plurinational State of),Brazil,Barbados,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Côte d'Ivoire,Cameroon,D.R. of the Congo,Congo,Colombia,Comoros,Cabo Verde,Costa Rica,Czechoslovakia,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Spain,Estonia,Ethiopia,Finland,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,"China, Hong Kong SAR",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran (Islamic Republic of),Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyzstan,Cambodia,Republic of Korea,Kuwait,Lao People's DR,Lebanon,Liberia,Libya,Saint Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Republic of Moldova,Madagascar,Mexico,TFYR of Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Puerto Rico,D.P.R. of Korea,Portugal,Paraguay,State of Palestine,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan (Former),Senegal,Singapore,Sierra Leone,El Salvador,Serbia,Sao Tome and Principe,Former USSR,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, Province of China",U.R. of Tanzania: Mainland,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Former Yugoslavia,South Africa,Zambia,Zimbabwe
1960,2744,,2585,,9765,,15972,11302,,660,11404,1201,638,1129,5060,,2225,,2702,4404,4253,899,1555,14804,29063,5913,843,3008,1854,2062,3245,3960,914,1660,4197,9578,4360,4245,,15565,3767,1900,15833,3028,,4219,2643,5960,,587,10087,12170,10417,13512,,2165,887,1365,861,1234,6052,3348,4321,2534,6948,2512,8879,1776,1002,8660,6003,19133,10111,6938,10922,5164,4794,6273,,1669,,657,1691,,899,11717,1172,6353,2623,1882,501,,14629,,2173,,2274,5624,3956,709,2403,664,5971,2479,404,1410,3032,575,2842,5004,1177,2137,4567,14911,21705,950,15586,5210,1267,3408,5004,2765,6253,7566,808,5115,2511,1266,,3123,8972,720,17842,2399,2041,4367,1192,3896,6249,1483,8481,,6550,14677,1194,5421,2240,1193,1301,1504,,,7365,2244,3779,2002,1271,1107,,7512,18058,,13668,1179,1527,4580,7216,2883,1544
1961,2708,,2607,,10297,,15721,11837,,554,11898,1213,660,1170,5339,,2266,,2696,4644,4546,916,1585,14940,30561,6038,697,3174,1846,1799,3278,4028,902,1716,4208,9869,4468,4670,,16064,3792,1796,16732,2863,,4201,2748,6611,,604,10779,12698,11549,13843,,2180,929,1542,914,1333,6527,3382,4391,2513,7410,2363,9286,1860,1009,9117,6326,20714,9898,7434,11766,5259,5525,6965,,1579,,633,1719,,908,12154,1168,6721,2708,1868,500,,15071,,2194,,2276,5724,4008,699,2381,668,7155,2553,407,1629,3623,590,2957,4933,1202,2146,4756,14758,22883,959,16047,5146,1309,3669,5295,2833,6665,8134,822,5398,2563,1289,,3357,9484,686,19508,2334,2083,4567,1196,3907,6391,1594,8809,,7093,15436,1313,4984,2347,1188,1357,1534,,,7507,2400,3755,2068,1221,1065,,7607,18175,,13798,1198,1536,4789,7335,2818,1573
1962,2695,,2693,,9972,,16400,12049,,590,12440,1144,697,1141,5727,,2221,,2783,4807,4739,928,1514,15691,31155,6166,738,3196,1872,2116,3309,4114,961,1765,4304,9944,4332,5114,,16609,3740,2034,17514,3242,,4296,2863,7197,,616,11040,13271,11764,13856,,2223,981,1477,966,1466,6732,3394,4908,2567,7555,2537,9640,1821,1009,9376,6264,21102,10551,7837,12604,5298,5390,7516,,1613,,666,1717,,917,12279,1152,8587,2787,1884,566,,15089,,2215,,2282,5812,4044,689,2280,714,6973,2627,426,1573,3548,574,3040,5488,1301,2203,5109,15546,23340,967,16023,6040,1368,3864,5529,2879,6498,8584,820,5763,2675,1342,,3455,10057,762,21326,2429,2101,4759,1232,4242,6704,1700,8900,,7339,15997,1551,5282,2812,1229,1374,1603,,,7675,2305,3904,2159,1295,1077,,7369,18977,,14492,1306,1546,4899,7542,2719,1546
1963,2683,,2785,,9583,,17078,12460,,605,12898,1169,683,1232,5940,,2459,,2894,4695,4827,943,1481,16180,31988,6396,825,3573,1908,2160,3342,4119,1138,1808,4511,9693,4309,5372,,16940,3772,2096,17486,3341,,4277,2986,7854,,684,11323,13757,12030,14300,,2237,911,1441,1002,1663,7389,3603,5420,2569,8308,2324,10141,1716,1037,9750,6754,20089,11410,8322,13408,5366,5451,8071,,1641,,697,1814,,925,12042,1148,11153,2868,1875,613,,15455,,2236,,2214,6094,4700,721,2282,721,7877,2710,402,1457,3962,549,3100,5885,1400,2341,5486,15893,24050,974,16684,6146,1415,4108,5620,2989,6813,9292,867,6064,2678,1397,,3742,10342,670,22622,2296,2129,5104,1234,4287,7460,1803,8567,,8109,16754,1599,5631,2721,1189,1406,1681,,,7916,2600,4194,2285,1336,1166,,7322,19515,,14926,1302,1559,5431,7880,2709,1484
1964,2673,,2880,,10409,,17894,13120,,625,13682,1220,694,1221,6356,,2687,,2964,4713,5084,961,1475,16913,33109,6383,920,4041,1942,2061,3375,4242,1196,1846,4577,10073,4598,4823,,17822,3738,2165,18973,3451,,4445,3109,8218,,703,11829,14509,12076,14954,,2221,953,1489,1103,1892,7967,3653,5659,2606,9037,2225,10677,1743,1093,10083,7032,21794,12352,8803,13822,5652,6133,8919,,1744,,660,1916,,934,12412,1173,15157,2947,1918,649,,16466,,2258,,2255,6614,6011,740,2363,721,9138,2790,410,1866,3584,523,3209,6668,1374,2371,5936,16982,25057,980,17156,5995,1483,4163,5840,2998,7045,9735,916,6435,2723,1457,,4084,10905,577,24009,2213,2118,4791,1230,4546,8177,1901,9542,,8798,17765,1788,5700,2694,1137,1568,1742,,,8013,2656,4290,2484,1369,1218,,7369,20360,,15815,1321,1567,5991,8186,2993,1570
1965,2670,,2985,,11190,,18444,13410,,632,14041,1252,714,1261,6691,,2765,,3037,4686,5174,976,1455,17714,33839,6286,999,3784,1946,2035,3407,4265,1171,1880,4833,10373,4495,5859,,18556,3731,1836,19681,2927,,4730,3234,8778,,729,12417,15078,12100,15241,,2187,1000,1600,1178,2125,8674,3735,6297,2731,9245,2203,10730,1725,1026,10216,7664,23000,13011,9333,14028,5974,6550,9338,,1708,,673,1981,,943,13253,1161,18673,3018,1931,649,,16595,,2280,,2198,6832,5442,735,2560,726,9309,2874,411,2095,3605,579,3351,6936,1447,2458,6297,17631,26183,987,17914,5871,1508,4398,6057,3059,7366,10438,947,6909,2806,1524,,4399,11412,602,26238,2307,2134,5032,1298,4641,8280,1991,9961,,8766,18272,2014,5577,2602,1118,1738,1824,,,8283,2763,4327,2678,1376,1209,,7369,21390,,16184,1293,1579,6037,8445,3447,1619
1966,2633,,3097,,11102,,18607,14065,,644,14396,1267,711,1252,7169,,2952,,3181,4855,5499,1056,1416,18514,34360,6841,1006,3898,2000,2118,3499,4362,1262,1913,5037,10763,4637,6173,,18964,3746,2019,20052,3218,,4711,3177,9324,,742,12668,15701,12455,15450,,2127,1002,1807,1252,2186,9136,3862,6295,2789,9851,2145,11305,1690,1014,10274,8184,23424,13895,9210,14663,6090,6456,10237,,1867,,685,2164,,952,13735,1342,21204,3084,1865,631,,16669,,2349,,2197,7085,5855,750,2851,683,9669,2957,415,2076,3393,622,3429,7018,1398,2311,6301,17880,26953,1038,18710,6018,1588,4589,6385,3098,7764,11045,1034,7206,2764,1644,,4864,12138,626,29273,2219,2130,5442,1360,4798,8939,2107,10327,,9168,18475,2046,5577,2325,1075,1849,1970,,,8524,2765,4751,2834,1507,1247,,7559,22529,,15989,1267,1596,6439,8577,3173,1593
1967,2642,,3214,,11240,,19500,14385,,686,14882,1248,766,1199,7507,,2885,,3300,4916,5994,1146,1442,18738,35021,6918,987,3767,2017,2034,3595,4416,1282,1942,5176,11183,5082,6961,,18982,3738,2024,20549,3225,,4815,3069,9719,,758,12865,16298,12771,15706,,2103,1014,1810,1325,2303,9524,3940,6347,2843,10122,2058,11908,1619,1074,10823,8842,22132,13510,9257,15607,6186,6294,11255,,1900,,702,2268,,961,12694,1296,22726,3155,1988,685,,16653,,2420,,2269,7301,6050,758,3039,690,9783,3049,433,2117,3472,664,3399,6561,1375,1896,6528,18609,28392,1003,17590,9750,1604,4830,6456,3166,7981,11643,1084,7754,2863,1607,,5295,12825,652,31005,2093,2047,5977,1330,4896,9027,2198,10669,,9382,18954,2183,5455,2438,1058,1901,2072,,,8633,2683,4882,3063,1521,1275,,7179,22842,,16076,1078,1615,6519,8922,3326,1670
1968,2670,,3330,,11554,,20255,14947,,665,15446,1264,782,1284,7591,,2983,,3497,5248,6743,1245,1424,19416,35869,7022,939,4141,2107,2057,3690,4558,1249,1971,5406,11667,4703,7222,,19927,3713,1967,21268,3135,,4932,3054,10183,,755,13102,16890,12887,16270,,2071,1026,1777,1365,2353,10130,4199,6536,2907,10515,2096,12006,1740,1076,11668,9883,25210,12592,10465,16810,6391,5501,12563,,1972,,715,2499,,971,13866,1319,29149,3243,2087,667,,17306,,2493,,2371,7658,6184,770,3337,721,10188,3140,471,2270,3174,638,3607,6445,1356,1821,6410,19604,28779,991,17365,17243,1671,5034,6211,3225,8398,12084,1194,8433,2887,1486,,5567,13547,678,32853,2162,2118,6674,1438,4881,9116,2286,11183,,9893,19532,2029,5777,2449,1031,1945,2178,,,9053,2900,5123,3234,1552,1269,,7227,23692,,16379,1032,1629,6695,9061,3281,1645
1969,2646,,3443,,12361,,21005,15832,,645,16434,1268,788,1275,7900,,3202,,3565,5589,7398,1344,1466,20148,37402,7140,1008,4110,2168,2184,3789,4721,1235,1998,5599,11913,4569,7829,,21090,3705,2119,22515,3377,,5049,3202,11012,,766,14372,17908,13738,16492,,2081,1036,1905,1432,2254,11093,4306,7248,2827,11257,2120,12318,1915,1124,12315,10849,25212,12807,11491,17661,6774,5706,13965,,2026,,707,2813,,981,13760,1374,31396,3335,2122,661,,18912,,2567,,2407,7894,6761,749,3513,737,11134,3232,515,2200,3282,660,3725,6497,1288,2244,6622,20625,29828,1016,18955,21083,1733,5273,6196,3278,8250,12919,1344,8629,2921,1573,,5820,13825,731,34396,2235,1924,7477,1545,4874,10096,2374,11233,,10764,20366,2060,5625,2816,1078,2100,2282,,,9304,2942,5302,3453,1534,1367,,7607,24196,,16531,1090,1649,7276,9363,3173,1788
1970,2632,,3570,,12826,,21845,16900,,803,17406,1262,781,1306,8295,33003,3294,,3661,6005,8157,1446,1497,20382,39438,7146,1115,4328,2188,2119,3888,4908,1294,2025,5802,12124,4335,8003,11424,21896,4400,2278,22793,3630,8179,5245,3343,11253,,793,15505,18771,14612,16829,,2236,1052,1662,1498,2164,11948,4455,7855,2821,12000,2174,12234,2074,1155,12537,11661,24293,13684,12053,17942,7490,4929,15286,,2104,,633,2989,,990,14284,1422,31646,3416,2177,661,,19139,,2643,,2477,8184,7219,778,3922,756,11894,3332,530,2389,3216,653,3862,6354,1298,2850,6475,21534,30213,1022,18425,21173,1862,5437,6496,3305,8613,14043,1428,9471,3021,1695,,6341,14909,786,36574,2082,2027,8384,1573,4831,10311,2461,11985,,11704,21483,2600,5887,2623,1076,2006,2363,,,9713,3053,5466,3753,1573,1346,,7892,23958,,17247,1084,1949,7624,9598,3224,2112
1971,2560,,3713,,13227,,22328,17685,,812,17995,1255,802,1216,8519,34699,3480,,3708,6510,8411,1772,1417,21247,40552,7651,1154,4317,2206,2193,4131,5066,1310,2098,6012,12484,4604,8965,11984,22376,4467,2410,23239,3905,7272,5386,3420,11705,,809,15809,19486,15764,17101,,2341,1087,1608,1432,2227,12743,4598,8311,2836,12910,2292,12746,2143,1140,12849,12741,24950,15322,12961,18165,7402,4868,15800,,2164,,602,3217,,1019,15189,1450,28847,3513,2117,585,,19465,,2722,,2517,8230,7594,787,4019,765,12229,3391,552,2367,3313,727,4050,6451,1342,3094,6578,22168,31554,991,19062,20713,1822,5797,6599,3386,9156,14697,1526,10159,3109,1881,,6738,15448,773,40660,2163,1964,9226,1555,4920,11212,2551,12183,,12484,21538,2626,6635,2785,1074,2089,2406,,,9746,3313,5859,4148,1590,1349,,7797,24395,,17139,1112,2240,8158,9811,3130,2228
1972,2086,,3858,,13410,,22537,18674,,778,18869,1342,824,1048,8881,36575,3611,,3802,7099,8453,2168,1358,22111,41470,7430,1142,4336,2252,2136,4190,5322,1300,2130,6365,12859,4738,9484,12572,23192,4412,2556,24326,4271,8545,5553,3422,12773,,832,16914,20175,17157,17652,,2201,1091,1561,1518,2247,14236,4823,9029,2889,13207,2269,12983,2331,1110,13474,14402,23243,16024,14102,18573,7508,4846,16891,,2198,,565,3388,,1032,16592,1457,29945,3535,2121,682,,20497,,2730,,2428,8639,7861,809,4335,756,12747,3415,554,2331,3536,779,4252,6346,1244,3118,6592,22668,32909,1002,19514,21929,1787,5903,6623,3472,9745,15334,1637,10998,3229,2140,,7528,15801,753,45559,2057,2028,10282,1544,5080,11628,2550,12131,,13044,21966,2881,6905,3366,979,2101,2439,,,10166,3823,6126,4606,1642,1330,,7512,25415,,17074,1183,2368,8422,9750,3319,2343
1973,2091,,4050,,13986,5147,23398,19479,8842,829,19964,1363,770,1031,9183,38125,3720,6535,3965,7885,8508,2533,1392,23405,42471,6899,1207,4467,2235,2257,4789,5550,1353,2150,6675,13202,5076,9609,13094,24173,4426,2738,25057,4662,8570,6065,3450,13770,9834,840,17946,21097,18140,18795,8570,2195,1086,1651,1516,2467,14727,5033,9951,3002,13670,2330,13615,2616,1135,13887,15205,26256,16864,14351,19632,8039,4915,17993,13590,2231,4814,761,3895,,1099,16932,1468,28829,3518,2168,840,12079,21957,10655,2771,5861,2311,9046,8242,772,4480,739,12581,3611,570,2273,3909,821,4755,6367,1010,3287,6728,23539,34122,978,20459,18276,1866,6060,6780,3678,10386,16157,1761,12222,3370,1993,,8405,16939,757,52962,1827,1858,11214,1573,5216,12212,2537,13026,,13785,22796,2901,7437,2976,912,1956,2613,6086,9783,10233,3712,6275,5101,1640,1296,11123,7750,26603,5846,17529,1233,2599,8759,9906,3190,2358
1974,2149,,4065,,14639,,23592,20213,,812,20740,1416,745,1135,9408,39850,3961,,4068,8313,8065,2638,1323,24026,42963,6851,1211,4403,2282,2270,4622,5738,1353,2190,6848,13580,5254,7899,13638,24368,4069,2890,24708,4805,8828,6237,3509,14658,,831,18394,21571,23757,18535,,2285,1121,1698,1568,2759,14139,5230,9953,3301,14792,2417,13908,2685,1122,14242,16084,26757,17582,14917,20393,7607,5157,17537,,2257,,644,4158,141662,1115,16904,1473,33238,3653,2203,871,,22587,,2863,,2302,9289,8607,736,4904,764,13210,3649,512,2423,4164,850,4993,6583,1073,3561,7347,24288,35332,1020,21208,19740,1883,6035,6942,3706,10894,16036,1900,12196,3551,2344,412705,8402,17438,742,59164,1952,1878,11743,1601,5419,13170,2632,13276,,15011,23457,3364,7418,3572,1015,1982,2664,,,10667,3916,6653,5063,1627,1268,,8035,26287,,17985,1156,2687,9417,10201,3347,2350
1975,2225,5345,4079,,14268,,23928,20193,,795,20408,1284,702,1098,10133,34173,4066,,4232,8526,7861,2727,1313,24214,40186,5870,1272,4222,2343,2097,4455,5742,1398,1808,6795,13873,5436,6714,14306,24323,4324,2961,24474,4909,9171,6377,3787,14933,,813,18523,21316,26116,18517,,1958,1131,1751,1590,3446,14855,5208,9729,3262,15156,2396,14125,2627,1194,14796,16375,30187,17471,15099,19831,7483,5315,17851,,2166,,567,4360,117301,1164,11577,1380,32997,3764,2219,782,,20872,,2994,,2276,9539,8896,818,5787,781,13500,3771,427,2622,4159,855,4919,6486,1020,3353,7273,24065,36975,1014,20565,23784,1913,5985,7291,3809,11297,15371,2057,11278,3705,2303,393166,8505,18025,705,56547,2133,1972,12106,1571,5581,13448,2708,13188,,15728,23962,4358,7500,4127,1165,1914,2732,,,10743,4088,7108,5210,1662,1211,,8415,25956,,18484,1047,2826,9669,10133,3126,2308
1976,2286,4752,4096,,13991,,24634,21154,,860,21526,1266,684,1122,10395,37579,4081,,4453,9171,8178,2868,1336,25206,40060,5989,1211,4532,2326,1923,4536,5889,1359,1831,6965,13989,5513,8078,14780,25623,4496,3155,25993,5111,9485,6796,4282,15443,,814,18389,22154,33343,18935,,1850,1196,1679,1551,3863,15591,5462,10980,3486,15727,2547,14090,2793,1184,14768,18627,35139,18340,14985,21019,6936,6371,18363,,2170,,630,4794,117329,1193,4924,1409,39090,4372,2246,890,,21293,,3259,,2148,9681,9176,908,6740,814,14058,3809,394,2747,5009,862,5405,6338,1003,3607,7398,24985,38959,1037,20828,25624,1968,5939,7197,4032,11468,15696,2104,11792,3884,2595,395336,9360,18447,815,58076,2447,2101,12832,1531,5656,14049,2668,13679,,15964,24128,4794,8570,4427,1123,1850,2917,,,11603,4294,7593,5797,1729,1188,,8700,27059,,19373,1194,3173,9948,10124,3217,2234
1977,2116,4687,4114,,14587,,24612,22135,,917,21637,1284,716,1098,10247,38720,4375,,4527,9391,8433,3009,1406,25747,41145,6486,1262,4555,2384,1878,4085,6016,1300,1720,7371,14519,5698,9356,15194,26406,3721,3232,26333,5231,10032,7023,4710,15784,,818,18383,22888,28376,19355,,1855,1133,1657,1415,4106,15881,5750,11877,3721,16983,2508,14907,2941,1247,15765,17822,34921,19805,14675,21541,6716,6548,18984,,2279,,702,5205,106035,1157,8907,1384,41689,4693,2353,1020,,21585,,3352,,2143,9737,9640,957,7500,848,15424,3996,384,2688,5248,879,5713,6168,1055,3628,7613,25510,40451,1046,19742,24470,2002,5841,7006,4142,11573,16424,2155,12400,4220,2502,329617,9825,18878,829,62673,2731,1982,13603,1514,5846,15080,3194,13875,,16999,23658,4704,9139,4226,1016,1898,3137,,,12132,4333,7794,6267,1726,1175,,8795,28001,,19959,1207,3425,10643,9859,2973,2010
1978,2215,4784,4133,,13714,,25016,22073,,938,22234,1242,782,1143,10460,38465,4632,,4566,9619,8812,3193,1387,26521,41208,6921,1392,4810,2438,1718,4211,6410,1299,1866,7528,14599,5990,10027,15743,27181,3152,3611,26639,5225,10977,7302,4915,16058,,795,18713,23427,20960,20049,,1979,1186,1691,1574,3862,16726,5896,12474,3948,18189,2578,15216,3004,1285,16684,15210,39828,20833,15065,22273,6694,7651,19804,,2389,,793,5604,106824,1154,8505,1424,41918,4957,2455,1190,,22427,,3383,,2033,10348,10304,917,8147,890,16122,4177,376,2440,5354,930,6074,6212,1169,3314,6922,25955,41702,1070,19816,22773,2112,6301,6824,4236,11887,17300,2208,12702,4603,2747,337308,10637,19098,879,61979,2596,1845,14609,1543,6061,15758,3192,14099,,18296,24002,4623,9829,4443,990,2029,3378,,,13336,4514,7893,6978,1724,1082,,9318,29287,,19720,1188,3615,11253,9904,2905,2029
1979,2118,4774,4153,,14451,,26016,23317,,910,22737,1303,772,1162,10853,36785,4940,,4460,10022,9470,3479,1317,27350,42113,7390,1483,4713,2495,1662,4555,6625,1378,1903,7666,14633,6092,10943,15884,28268,3049,2948,27515,5322,11608,7484,5144,16186,,836,19964,24075,21162,20580,,1900,1148,1591,1578,3226,17129,6031,13506,3992,19190,2719,15211,3094,1192,16920,13409,47258,21630,15645,23483,6492,8064,20714,,2382,,813,5922,114156,1124,9147,1450,43624,5034,2565,1033,,22894,,3470,,2172,11081,10911,1121,8818,917,15971,4232,369,2631,5441,943,6420,6261,1224,3440,4939,26357,43422,1072,20228,22541,2128,6437,7046,4352,11559,18063,2262,13382,5019,2636,328239,10691,19161,932,61611,2242,1913,15784,1591,5809,17049,3615,13914,,19533,24870,4564,11167,4452,760,2088,3482,,,13726,4699,7709,7394,1697,940,,9794,29951,,19330,1173,3711,11968,10040,2735,1993
1980,2108,4790,4182,,14414,4877,26184,23856,8964,856,23733,1383,766,1138,10503,38233,5105,7433,4326,10687,9854,3740,1224,27359,43814,7869,1539,4886,2655,1649,4990,6752,1434,1977,7590,14966,5979,11479,16110,28512,2920,3387,27361,5514,11462,7612,5516,16574,10721,864,20964,24292,21978,20211,9534,1817,1154,1550,1297,2924,17259,6113,14510,3873,19462,2862,15345,3283,1249,17272,11061,44613,22632,16344,24276,6075,9218,21130,13305,2417,4738,811,5674,85713,1227,9292,1320,41973,4670,2658,978,12710,22999,11705,3716,6221,2129,11823,10920,974,8996,975,19571,4401,371,2596,4807,920,6792,6486,1254,3400,4954,26460,45426,1024,20331,22696,2271,7257,7184,4450,11165,18103,2315,13920,5470,2953,328630,10669,19704,983,63407,2183,1792,17148,1605,5236,16972,3490,13817,,19336,25234,4494,10690,4821,715,1933,3563,5357,8602,14587,4920,7543,7782,1664,888,12000,10364,29613,5363,18354,1117,3629,12168,10416,2735,2133
1981,2369,4600,4205,,13361,5012,26636,23785,9371,912,23423,1417,780,1143,10751,37579,5239,7712,4285,9986,9652,4027,1210,27861,44227,8221,1565,4870,3010,1643,5882,6748,1455,2117,7236,14835,6438,11697,16070,28581,2848,3816,27125,5609,11386,7708,5533,16440,11030,844,21264,24413,22561,19924,10017,1793,1137,1778,1261,2913,17114,5991,15542,3814,19447,2725,15453,3435,1300,17627,10279,35264,23329,16899,24369,6155,9264,21644,12976,2377,4691,798,5933,66461,1397,9173,1232,32460,4731,2779,962,13165,23169,11902,3548,6537,1891,12547,10961,925,9302,1012,18699,4660,370,2643,5010,846,7102,6463,1239,3033,5047,26137,45707,1085,21216,25211,2363,7749,7318,4489,10475,18131,2362,14042,5802,2711,267331,10605,19817,1003,64386,2156,1722,18071,1636,4857,17233,3053,13828,,19133,25200,4653,9866,5105,638,1751,3702,5241,8479,15003,5064,7706,8120,1598,899,12323,10459,30056,5416,17768,1131,3745,12250,10631,2812,2317
1982,2628,4294,4228,,12727,5149,26184,24206,9797,887,23744,1523,778,1130,11070,38462,5301,8004,4027,9829,9139,4205,1199,26689,43303,6990,1697,4702,3156,1590,7068,6665,1512,2149,6545,15085,6534,12305,15814,28361,2804,3957,27964,5579,11737,7585,5924,16618,11351,820,21831,24893,21183,20248,10523,1636,1133,1849,1284,2834,17081,5652,15734,3631,19367,2574,16019,3239,1312,17839,11413,33810,23507,16948,24466,6128,9554,22154,12659,2424,4640,835,6285,56097,1463,5694,1216,31986,4809,2871,970,13627,23049,12089,3822,6871,1804,12193,11005,858,9606,1047,19078,4934,353,2390,5216,828,7344,6250,1195,2917,4876,25717,45634,1100,21401,26755,2457,7888,7158,4535,10287,17366,2412,14328,5595,2867,208132,10973,19807,988,61803,2350,1921,18516,1631,4625,17328,3090,14051,,18773,25439,4586,9630,5027,642,1628,3829,5126,8362,13874,4943,7930,8271,1573,947,12662,9414,29211,5465,17399,1196,3702,12220,10257,2635,2313
1983,2789,4026,4252,,12976,5178,25870,24957,10020,891,23743,1413,750,1159,10839,39571,5247,8357,3784,9332,9135,4537,1097,27191,43302,6687,1776,4356,3278,1572,7259,6622,1547,2322,6538,15275,6852,12806,16065,28946,2732,4038,28688,5696,11959,7230,6189,16846,11659,836,22288,25080,21660,20951,11089,1465,1124,1734,1212,2836,17056,5349,16433,3478,18979,2546,15878,3297,1388,17675,12414,29861,22703,17238,24723,6248,9375,22514,13121,2348,4855,867,6905,57909,1495,6860,1139,29948,5009,2979,961,13691,23725,12248,3699,7112,1768,11498,10730,880,9666,1071,18634,5100,323,2396,5183,836,7607,5911,1145,2664,4987,26062,47112,1042,21711,29799,2549,7613,6057,4509,10694,17251,2462,14284,5279,2667,165863,11601,20054,1012,52116,2246,1908,19818,1595,4613,16945,2914,14376,,18695,25873,4407,9385,4917,707,1491,3972,5172,8312,12553,5080,8064,8845,1520,988,13162,8795,30159,5521,15967,1234,3804,12009,9756,2487,2263
1984,2766,3937,4277,,13044,5343,27366,25035,10459,870,24332,1479,743,1194,11175,39701,5301,8584,3758,9636,9417,4978,1138,28476,44417,6970,1949,4061,3425,1613,7569,6707,1572,2377,6850,15598,7356,13759,16421,29863,2714,4277,29963,5587,12230,7328,6370,16928,11873,800,22838,25305,22527,21444,11898,1508,1090,1710,1250,2728,17443,5237,17871,3502,19340,2501,16326,3451,1410,18313,12139,28931,23397,17087,25328,6178,9808,23247,12919,2301,4823,906,7412,58283,1566,9734,1098,27347,5277,3087,979,13769,25168,12509,3751,7200,1654,11643,11039,903,9879,1103,19170,5276,311,2293,5378,847,8000,5709,929,2497,4798,26811,49754,1116,22504,33309,2586,7621,6195,4077,10991,18326,2513,13997,5289,2709,145854,12251,19986,939,49187,2065,1763,21138,1629,4650,17197,2685,14423,,18878,26876,4362,10037,4551,735,1524,4130,5100,8030,13070,5127,8371,9648,1513,875,13430,8653,32076,5173,15338,1314,3838,12158,9932,2393,2135
1985,2700,3882,4299,,12006,5504,28413,25578,10707,951,24569,1542,818,1203,10820,38110,5327,8617,3668,10185,9479,5259,1139,29738,45697,6998,2089,4109,3613,1572,7276,6775,1565,2547,6709,15688,7455,14240,16789,30584,2655,4385,31236,5328,12477,7440,6586,17381,11788,735,23511,25549,21268,22139,12570,1537,1084,1696,1274,2980,17921,5067,17735,3520,19290,2463,15954,3461,1436,18820,11967,27509,23980,17367,26024,5878,9783,24126,12910,2313,4550,946,7820,52733,1609,11885,1043,29251,5592,3175,985,13262,25839,12160,3882,6441,1643,11652,10915,907,10261,1113,19113,5447,280,2317,5699,885,7720,5561,923,2649,4507,27501,52186,1156,22501,36481,2738,7845,6178,3684,11011,18525,2564,14373,5343,2604,118657,12185,20142,953,43405,1872,1773,20942,1631,4664,17154,2876,14421,11292,18890,27349,4290,10959,4660,786,1526,4254,5001,7869,12323,5284,8646,10004,1465,863,13303,8748,33024,5168,14969,1362,3695,12133,9506,2354,2198
1986,2779,3458,4326,,12689,5456,28628,26148,10838,969,24927,1526,921,1227,11087,37604,5475,8798,3489,10729,9923,5468,1154,30212,46164,7260,2193,4081,3750,1597,6587,7035,1559,2584,6872,15950,7392,14721,17252,31249,2529,4742,32330,5372,12005,7462,6558,18028,12020,769,23992,26047,20449,23041,12542,1552,1083,1662,1232,2837,18161,4919,19382,3420,19769,2400,16301,3600,1466,18736,10449,26295,25318,17885,26762,5964,10292,24674,12944,2393,4386,969,8637,54736,1640,10890,998,25783,6448,3287,1013,13640,27700,12386,4080,6810,1607,11054,11639,948,10673,1082,19642,5824,282,2396,6208,856,7623,5699,941,2630,4368,28102,53880,1180,22855,35908,2826,8030,6650,3715,11275,19856,2559,14953,5192,3004,92305,12414,20497,965,38816,1892,1800,21219,1618,4607,17694,2653,14882,11701,19308,27884,4898,10986,4276,809,1522,4422,4959,7890,11732,5076,9100,11062,1467,835,13333,9461,33851,4968,15512,1370,3661,12484,9281,2288,2176
